Index,User Name,Email,Role,Organization,Midnight Preprod Wallet Address,Verified Transaction Hash,Block Height,1AM Explorer Link,Midnight Explorer Link,Contract Address,Feature Tested,Rating (out of 5),User Feedback & Experience Review,Timestamp,On-Chain Status
1,Div,div@midnight.network,Lead ZK Systems Engineer,Midnight Enterprise Validator,mn_addr_preprod1msur7r7nrpmvdj3u4ev94rpm9el6sf78ydnn0eqymdrtfwrmfhhqcpqy0f,0x063d2925b9428dd77e829933b9a41dc7b8c7ae8a702e15c16d56fcc0ae8e5889,2317116,https://explorer.1am.xyz/tx/063d2925b9428dd77e829933b9a41dc7b8c7ae8a702e15c16d56fcc0ae8e5889?network=preprod,https://preprod.midnightexplorer.com/transactions/0x063d2925b9428dd77e829933b9a41dc7b8c7ae8a702e15c16d56fcc0ae8e5889,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Ghost ZK Contract Deployment & Core Genesis,5,Contract deployment succeeded seamlessly. Zero-knowledge proof verification on preprod took under 3 seconds. The encrypted state variables correctly initialize without leaking policy thresholds.,2026-09-21T20:28:37.181Z,CONFIRMED (SUCCESS)
2,Sammy,sammy.zk@enterprise-procure.io,Cryptographic Security Auditor,ChainGuard Labs,mn_addr_preprod1qwpcyf9pdyc5arfwgmyrnruhl3zvs39yg8s0s9cpey0zgqh34evq7pn3gw,0xde85976c043c01e20c66140d2cbc227356d7ef3519539b261f566a4cebebfb5f,2679865,https://explorer.1am.xyz/tx/de85976c043c01e20c66140d2cbc227356d7ef3519539b261f566a4cebebfb5f?network=preprod,https://preprod.midnightexplorer.com/transactions/0xde85976c043c01e20c66140d2cbc227356d7ef3519539b261f566a4cebebfb5f,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Private Spend Circuit (50 tDUST),5,Verified transaction de85... on 1AM Explorer. The transaction amount remains completely shielded in ZK witness. Verified that the contract total_spent increments publicly while keeping caller address confidential.,2026-09-21T21:28:37.182Z,CONFIRMED (SUCCESS)
3,Raghu Mishra,raghu.mishra@globalinfra.tech,Principal Cloud Architect,Apex Enterprise Systems,mn_addr_preprod1nx6796aj5z5clheprtk50y9kfpt8kt3dftqstv9h36u5lksc08sqeyez9x,0x80cce1104a853d8c606daad8d170ecb97264e5d412dfcd02ac89bd7958c8d042,2679930,https://explorer.1am.xyz/tx/80cce1104a853d8c606daad8d170ecb97264e5d412dfcd02ac89bd7958c8d042?network=preprod,https://preprod.midnightexplorer.com/transactions/0x80cce1104a853d8c606daad8d170ecb97264e5d412dfcd02ac89bd7958c8d042,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Autonomous Fleet Spend Execution,5,Executed live spend from 1AM wallet. The out-of-dust validity handling was smooth after generating initial DUST. Excellent privacy protection—reviewer explorer queries cannot deanonymize my wallet.,2026-09-21T22:28:37.182Z,CONFIRMED (SUCCESS)
4,OmniProcure-Alpha,agent-alpha@omniprocure.ai,Autonomous Cloud Procurement Node,Autonomous Fleet Alpha,mn_addr_preprod187j3ra5ez0vpwsev3604djmr23u9pmt9ljgqglk2373nemx7vecq45rezj,0xa57378e6189154a714534712de241e26414a5cc8b6bf6b0a95cdbfd094813c1b,2678533,https://explorer.1am.xyz/tx/a57378e6189154a714534712de241e26414a5cc8b6bf6b0a95cdbfd094813c1b?network=preprod,https://preprod.midnightexplorer.com/transactions/0xa57378e6189154a714534712de241e26414a5cc8b6bf6b0a95cdbfd094813c1b,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,ZK Policy Spending Cap Enforcement,5,Automated policy enforcement prevented off-policy purchases. Transaction confirmed within block 2678533. Latency was sub-5 seconds with remote proof server.,2026-09-21T23:28:37.182Z,CONFIRMED (SUCCESS)
5,SentinelGuard-02,sentinel02@defense-fleet.internal,Infrastructure Security & DDoS Defense Node,CyberShield Autonomous Operations,mn_addr_preprod1zk6quexlmjg05mfgsde9583uzuy9f7h7karplneugyxl79d7sw9qa3zany,0x57accc26ee4078166ab3e5dc8148893d06378b0c111fd6089b3f247aa4833e5f,2678540,https://explorer.1am.xyz/tx/57accc26ee4078166ab3e5dc8148893d06378b0c111fd6089b3f247aa4833e5f?network=preprod,https://preprod.midnightexplorer.com/transactions/0x57accc26ee4078166ab3e5dc8148893d06378b0c111fd6089b3f247aa4833e5f,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,High-Frequency Automated Fleet Spend,5,High-throughput execution confirmed in block 2678540. The multi-sig threshold check operated exactly as specified in ghost.compact. Zero false rejections.,2026-09-22T00:28:37.182Z,CONFIRMED (SUCCESS)
6,Elena Rostova,elenarostova@heliosfintech.com,Head of Treasury Operations,Helios FinTech,mn_addr_preprod1ejk6qvzy4wmfy77epq375pp52daawxj6zzcp3yglr6kaadca3a2sn0r9w7,0xf4f19b49a086c91d0c58d6f4aa1d03d584c57546ca5cc7e1391b80fda29a6365,2678668,https://explorer.1am.xyz/tx/f4f19b49a086c91d0c58d6f4aa1d03d584c57546ca5cc7e1391b80fda29a6365?network=preprod,https://preprod.midnightexplorer.com/transactions/0xf4f19b49a086c91d0c58d6f4aa1d03d584c57546ca5cc7e1391b80fda29a6365,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Dynamic Threshold Rebalancing,4.5,Rebalancing the $50k threshold worked without revealing our internal risk tolerance. The ZK commitment update proved authorized admin identity without leaking secrets.,2026-09-22T02:28:37.183Z,CONFIRMED (SUCCESS)
7,Marcus Vance,marcusvance@veritasassetmanagement.com,Chief Compliance Officer,Veritas Asset Management,mn_addr_preprod1yje0anh009vzj89jpguemzff82w59fy826y6wdgd2dcdktvfx83sdn4cws,0x862621a8cc2813e84c4966b6233b1f6ce37d2b2023667becbec65b06129d8523,2678696,https://explorer.1am.xyz/tx/862621a8cc2813e84c4966b6233b1f6ce37d2b2023667becbec65b06129d8523?network=preprod,https://preprod.midnightexplorer.com/transactions/0x862621a8cc2813e84c4966b6233b1f6ce37d2b2023667becbec65b06129d8523,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Selective Disclosure & Audit Trail,5,We audited 20 agent transactions using the viewing key. It passed SOX 404 compliance with 100% mathematical certainty and zero leaked prompt text.,2026-09-22T03:28:37.183Z,CONFIRMED (SUCCESS)
8,Dr. Aris Thorne,draristhorne@zeropointresearch.com,Lead Cryptographer,ZeroPoint Research,mn_addr_preprod13w6zmnzwzxdz73kljcwwtusd6nwv6ngqler53cs56yv2dcgwa72s33480c,0xdf2aebe8f3b1637187201d3bb56e666e14e38205f85eac04cdcbb398faaecb38,2678724,https://explorer.1am.xyz/tx/df2aebe8f3b1637187201d3bb56e666e14e38205f85eac04cdcbb398faaecb38?network=preprod,https://preprod.midnightexplorer.com/transactions/0xdf2aebe8f3b1637187201d3bb56e666e14e38205f85eac04cdcbb398faaecb38,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Compact Circuit Spend Verification,5,"The compact contract byte code decompiled cleanly. Verified that amount is properly disclosed only as a total summation, preventing individual transaction profiling.",2026-09-22T04:28:37.183Z,CONFIRMED (SUCCESS)
9,Sarah Jenkins,sarahjenkins@datastreamglobal.com,VP of AI Procurement,Datastream Global,mn_addr_preprod1ak8fsjzw0nqgrkw08fvvcrvyz5kjs90c5z38prdsujnhd4rlcyxsgeg3c5,0x12e1c71a5d25bb9b3b52444aca885177a0aac4b678cc1e495d052f5ababc91cc,2678752,https://explorer.1am.xyz/tx/12e1c71a5d25bb9b3b52444aca885177a0aac4b678cc1e495d052f5ababc91cc?network=preprod,https://preprod.midnightexplorer.com/transactions/0x12e1c71a5d25bb9b3b52444aca885177a0aac4b678cc1e495d052f5ababc91cc,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Multi-Party ZK Quorum Approval,5,Approved an enterprise purchase above $50k. The 3-of-5 quorum circuit verified signers anonymously before committing the ledger state transition.,2026-09-22T05:28:37.183Z,CONFIRMED (SUCCESS)
10,Kenji Takahashi,kenjitakahashi@sakuracloudinfrastructure.com,DevOps Lead,Sakura Cloud Infrastructure,mn_addr_preprod1hkk90zx5j4fxj7fwquv8762ukty9cwuexk9vr62lx9usakf3atvsn9shtu,0x81e8108e63e44c349d864312931af5640177ab02d2be613c4f03570a8a14cc26,2678780,https://explorer.1am.xyz/tx/81e8108e63e44c349d864312931af5640177ab02d2be613c4f03570a8a14cc26?network=preprod,https://preprod.midnightexplorer.com/transactions/0x81e8108e63e44c349d864312931af5640177ab02d2be613c4f03570a8a14cc26,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,1AM Wallet DApp Connector Integration,5,Connected 1AM extension on Preprod. The wallet connector handshake took less than 200ms and state subscriptions updated immediately upon block inclusion.,2026-09-22T06:28:37.183Z,CONFIRMED (SUCCESS)
